channel_id_x,fusion_embedding_index,cluster_id,community_id
UC-N4b49LAlPDBZ5A5-2Ci8A,104,0,5
UC-NINtNMPM75eaqh07RCy_Q,105,0,3
UC-NfY72l3Tn-c2qg0iHDUlQ,106,5,10
UC-NlyhOdTK4C30NhptvD7UA,107,4,2
UC-NzI_LGwIfIgDFje5FDsPg,108,4,4
UC-O9o5coq8iFSVthivq__tw,109,5,10
UC-OLtNyC2j8EIKeSn-7ByLQ,110,6,0
UC-OO324clObi3H-U0bP77dw,111,7,12
UC-OfPFc1p-FclPQc2nXg1FA,112,4,1
UC-PN1tfiDcx__zvW5ja9ZOw,113,6,0
UC-PrBbBlScO9CmH_51fXqhQ,114,0,3
UC-QZWTOtdsm6CNPHUR88irA,115,6,4
UC-RKpEc4eE9PwJaupN91xYQ,116,6,14
UC-Rs5yl8q5pEE5KqYJ4RZ4Q,117,6,4
UC-Rx9HRmDoc5YmtcPOopmrA,118,5,10
UC-SJ6nODDmufqBzPBwCvYvQ,119,0,3
UC-SQpatMUyttygyX3qVWXYw,120,4,5
UC-SV8-bUJfXjrRMnp7F8Wzw,121,5,2
UC-SgrUhzMPuSHZMu_EUX1Yw,122,4,7
UC-Shc38nmBnY5FiUrgvggSw,123,6,9
UC-SrCCzkGq0wmSAuRs7EBFg,124,5,7
UC-TFz4MD1ZzcY6NuZAP3Ndw,125,4,7
UC-T_EdQ6MTufAWnFXa7dnYw,126,8,0
UC-UXMS9Q-apozW8jALP5UZw,127,4,2
UC-UXd3xaj1I_yTvufcMdDAA,128,4,9
UC-Uh0-0dEQV8a-SPrx50zmw,129,6,11
UC-UnBy_fgcZ3ruourp5bTqA,130,4,7
UC-VVoIcS3Y3bsI5d9oPzG5A,131,8,0
UC-VgICY7Wt5Yu4hdo02ACXA,132,6,4
UC-W0HeXqgFC8oAn13ByxIDg,133,6,4
UC-WCouYqsCDnQTW3C5MzyiA,134,4,3
UC-WMwOzgFdvvGVLB1EZ-n-w,135,4,2
UC-XByv4YD6jzp-c1bNCPJjw,136,6,1
UC-XWpctw55Q6b_AHo8rkJgw,137,6,4
UC-Y61gW00EK4xGH8NZSZwFw,138,8,0
UC-YBDU1SVIsBaa5JB2MBCeg,139,4,7
UC-YKMwyFOYWMzA2K5LukjhA,140,0,3
UC-Yx-lLW4VPDJa7Or-UoMLQ,141,5,1
UC-ZT8Z99IaoA_aZKtsbIFug,142,0,3
UC-ZdOy00pTvliH3FtW_a_8g,143,6,4
UC-ZfPO20AQzg6hLf9eyuuGw,144,4,8
UC-ZhwyrLDrq5PrgSgT_rc1g,145,4,1
UC-_KiH_Z2yerhAD_cAjAMOA,146,4,7
UC-_MHB0cG9LJaYOa4HjPGwA,147,6,5
UC-_lhCgMFIPhjOV1VsmXUCw,148,7,12
UC-aNvDy3VmU65tEcPD6dsFQ,149,6,4
UC-an6pHQfTVZXgrLP0p1EGA,150,0,3
UC-awjwg4N6lWu1TSK1ostjQ,151,6,4
UC-b3c7kxa5vU-bnmaROgvog,152,4,4
UC-biucJWhM8HwjsQ96uoIUw,153,4,11
UC-bnedByiU_K_oUyT0pzixA,154,7,12
UC-btPIh4KalPw3hZxcB4zww,155,5,10
UC-cY4X2sLECUhishGNiyofQ,156,4,12
UC-cnbLlplnXA4oc7rR21qzg,157,4,9
UC-covmugQlTWCgA0bOnZPiw,158,0,5
UC-crZTQNRzZgzyighTKF0nQ,159,0,5
