channel_id_x,fusion_embedding_index
UC-SQpatMUyttygyX3qVWXYw,120
UC-SV8-bUJfXjrRMnp7F8Wzw,121
UC-SgrUhzMPuSHZMu_EUX1Yw,122
UC-Shc38nmBnY5FiUrgvggSw,123
UC-SrCCzkGq0wmSAuRs7EBFg,124
UC-TFz4MD1ZzcY6NuZAP3Ndw,125
UC-T_EdQ6MTufAWnFXa7dnYw,126
UC-UXMS9Q-apozW8jALP5UZw,127
UC-UXd3xaj1I_yTvufcMdDAA,128
UC-Uh0-0dEQV8a-SPrx50zmw,129
UC-UnBy_fgcZ3ruourp5bTqA,130
UC-VVoIcS3Y3bsI5d9oPzG5A,131
UC-VgICY7Wt5Yu4hdo02ACXA,132
UC-W0HeXqgFC8oAn13ByxIDg,133
UC-WCouYqsCDnQTW3C5MzyiA,134
UC-WMwOzgFdvvGVLB1EZ-n-w,135
UC-XByv4YD6jzp-c1bNCPJjw,136
UC-XWpctw55Q6b_AHo8rkJgw,137
UC-Y61gW00EK4xGH8NZSZwFw,138
UC-YBDU1SVIsBaa5JB2MBCeg,139
UC-YKMwyFOYWMzA2K5LukjhA,140
UC-Yx-lLW4VPDJa7Or-UoMLQ,141
UC-ZT8Z99IaoA_aZKtsbIFug,142
UC-ZdOy00pTvliH3FtW_a_8g,143
UC-ZfPO20AQzg6hLf9eyuuGw,144
UC-ZhwyrLDrq5PrgSgT_rc1g,145
UC-_KiH_Z2yerhAD_cAjAMOA,146
UC-_MHB0cG9LJaYOa4HjPGwA,147
UC-_lhCgMFIPhjOV1VsmXUCw,148
UC-aNvDy3VmU65tEcPD6dsFQ,149
UC-an6pHQfTVZXgrLP0p1EGA,150
UC-awjwg4N6lWu1TSK1ostjQ,151
UC-b3c7kxa5vU-bnmaROgvog,152
UC-biucJWhM8HwjsQ96uoIUw,153
UC-bnedByiU_K_oUyT0pzixA,154
UC-btPIh4KalPw3hZxcB4zww,155
UC-cY4X2sLECUhishGNiyofQ,156
UC-cnbLlplnXA4oc7rR21qzg,157
UC-covmugQlTWCgA0bOnZPiw,158
UC-crZTQNRzZgzyighTKF0nQ,159
UC-dch3BP4gKHC4cec0PU1PA,160
UC-dxlCijk41ZxR2aUc3kinQ,161
UC-eTpzTrvo9Zx6g_bQ83GgA,162
UC-elz6w4sbn_5LB37pJjTRA,163
UC-exjF2T70PJd8jAl050nkw,164
UC-f76NUQN5M-Z0cd0MOP5xw,165
UC-f7r46JhYv78q5pGrO6ivA,166
UC-fouMSM9Zot3x8Hw2_Y5yw,167
UC-fqetpMe8rFuBeQ4bpl3Jw,168
UC-fzWbU1zavz77kP1gPPdSg,169
UC-gW4TeZAlKm7UATp24JsWQ,170
UC-g_O9HWb5B0rVDG1hLd5Hw,171
UC-ga3onzHSJFAGsIebtVeBg,172
UC-gtSBvnDPCZ7PuTJ6T-68Q,173
UC-h7O5eERbl6lLuOgYJ0GbQ,174
UC-hVdQvK3h7WowzTeH97Yyw,175
UC-hWvVvE-crFl5vg5G8QbqA,176
UC-hzoAk2bSnoqW0LmECa5WA,177
UC-i2ywiuvjvpTy2zW-tXfkw,178
UC-i6eotFMKFK2lSkKpqZwqw,179
UC-iO7T_pV8wu8wewk6BKm6Q,180
UC-ikVvfoDcZuqOjTqFDpVqw,181
UC-ir6MfYIuyvVJS_DhOhcJw,182
UC-ivJVv3GtB_w_lpk_WQxHw,183
UC-j7LP4at37y3uNTdWLq-vQ,184
UC-j7tR3DhEt85EM9HbvxXqA,185
UC-jHioVmLr8Cb1lFBIZD2hQ,186
UC-kFCSJLpxuJdgMnQz8Dvrg,187
UC-kJeqtRWBKmoe44OVhXH9A,188
UC-kOXc3gBwksVfmndSEz7jg,189
UC-kzn5xgDaXXRi_pvcZ02rQ,190
UC-l6CtDqb2JKxbM6t2uLl-A,191
UC-lHB-Be9cqDDrfYvhuNpiA,192
UC-lHJZR3Gqxm24_Vd_AJ5Yw,193
UC-lJ-F5mlPP6SYPkkq6gjwA,194
UC-lT_CdlWyLMqqKwh211maA,195
UC-lkm1huv9jCUH28E7cKmew,196
UC-mKKHytTMRpwYgK3Mq0NZg,197
UC-mYzr9LGSK7paIDZ2yWcUQ,198
UC-mw3KFSWpZnU4wW7jRZOTw,199
UC-mxnplD2WcxualV1Ie0pjA,200
UC-nIJ_VwZtHwNNQ0_O15Wpg,201
UC-nPM1_kSZf91ZGkcgy_95Q,202
UC-nPOWKFdiudqGjCDl3EOGA,203
UC-ni0xL6ILMFdzf1A2s4__A,204
UC-o4cjVkzQGJMhXyE0lkVQg,205
UC-oAkZkE0UlaJVwu3Za1iKg,206
UC-oL90F36zuhh3YelWwtGmg,207
UC-oSaKCCEffJph0F7m6_xfA,208
UC-ol6cvdiLjBn4FrGgvhdrA,209
UC-ot0zOmCSxXj2Y59oI1k5g,210
UC-pC1xsFPzcrL09DaW4jlBA,211
UC-pE29OUR43BqqBxIeyo_GA,212
UC-pOuHFcndLpyfWSPVqXt_A,213
UC-piUeiCpbAgAWaAbH7srzg,214
UC-pnSdXRsSi44apSO5RXjlw,215
UC-qSbRLINXvZBZM6CpUMDzQ,216
UC-qnqaajTk6bfs3UZuue6IQ,217
UC-r13SLLdZtZNmuC2bMnlmw,218
UC-r9a_5nAJyex30RYNPACGA,219
UC-rX_f6vueiRY0E75gBNQ0g,220
UC-rXxeb-k6k3400m16_Hsqg,221
UC-rYBLAF-W0Hx9zs5I4n0xQ,222
UC-r_iceUdMT_sl9vcR7_5nA,223
UC-sJ8u8eu_ivfzekwkue38g,224
UC-s_hG_sI02u_4k0-sOdt-w,225
UC-sjC5fKKsrpcZRJwlZJzZQ,226
UC-ssqellSXFl-BBIf57eQQA,227
UC-t85sFdhpkxqi_tKg9VXTQ,228
UC-tsNNJ3yIW98MtPH6PWFAQ,229
UC-uC8tfchhyy2tFwZJ2yXjw,230
UC-uGdDHxmwi_eH5t_ph9uuw,231
UC-uMkHLJ01xaRvh2NAervXw,232
UC-uNVV92llYIMC5-ZUF0Q4w,233
UC-vKwDHcbPLtjml81ohGRng,234
UC-v_XGitwPQchj__zn1NPiw,235
UC-w-fhQxfy1D7odDtcXD3Eg,236
UC-wBAxgUX9P0fXZ6-D0frRA,237
UC-wo9eCtm-_oSjDBFu_3JNg,238
UC-x-DwjROa7DhQvKvoqj-kg,239
UC-xjitW_J39_Q1ure2HlJew,240
UC-y8ci7xfsu4L3zkSuHae0A,241
UC-yAFI39RM_1tEWRU_VG5ww,242
UC-yGQ964cqAhlsfKV8v3vAQ,243
UC-yTB2bUcin9mmah36sXiYA,244
UC-yW8iz7ICKv_bhuxLtcJaw,245
UC-yXuc1__OzjwpsJPlxYUCQ,246
UC-yewGHQbNFpDrGM0diZOLA,247
UC-zjH-e5XBzMpy_VtwIGRxQ,248
UC-zwAo_0PsviX7-H71mbHYg,249
UC0-JZXYwd9nWnM_FUeF549Q,250
UC0-cGia5gxo2e-6CInXj7PQ,251
UC0-swBG9Ne0Vh4OuoJ2bjbA,252
UC0-xPTwPhfXnuiI7QIcev3A,253
UC0-y9lFr9HdDbctpXXVTEWA,254
UC0076UMUgEng8HORUw_MYHA,255
UC00M4ztrpj2rMwpG6nMlM8w,256
UC00duOV3iYDuMNhbV4dwLSQ,257
UC00ifCvU8YOOzbL3RdiSTDw,258
UC00q9Udz9vdljIfN-8fCkQQ,259
UC01QQQlM3CepDAvgcIseUIA,260
UC01cT8kXmbVH6-mzwaa2qIQ,261
UC02hHB8lYb5zyRjxqahtVjg,262
UC02vp6CdqGfbJFF5tYc8mOw,263
UC02zbQDpsD2GSL8tRgaVihg,264
UC03GdYOZbnLQAPDXmjc6W9g,265
UC03H7RiBSXaC_l0IRwvFWbg,266
UC03RvJoIhm_fMwlUpm9ZvFw,267
UC03t_ekDdKC_EwlPBbiP58g,268
UC03yWcN2vS2VFwRH6hQpi3g,269
