video_id,title,channel_name,channel_id,view_count,like_count,comment_count,published_date,thumbnail,year
Qn4E_zk69wk,GTA 5 Roleplay - BANK HEIST AND MORE | RedlineRP (CHARITY STREAM),Treyten Live,UCu1lq83POgLJq3x7WwYq7RQ,944743,18869,1994,2020-11-24 19:45:00+00:00,https://i.ytimg.com/vi/Qn4E_zk69wk/hqdefault.jpg,2020
ymXy0lHns4k,BAS EK BAAT | S2 EP6 |JO BEET GAI | HARIVANSH RAI BACHCHAN | BHAVYA GANDHI |,Bhavya Gandhi,UC1_9I_9abHqch_CXk0DQDjA,81627,3610,335,2020-06-27 05:30:05+00:00,https://i.ytimg.com/vi/ymXy0lHns4k/hqdefault.jpg,2020
ShhZ0JegJsc,KID REACTS TO FUNNIEST ANIMATION!!,Dillon,UCpWWYl6JZqZ5lR1t5NNOrZg,784096,3598,78,2020-01-03 17:26:11+00:00,https://i.ytimg.com/vi/ShhZ0JegJsc/hqdefault.jpg,2020
kuzntqsZKU4,Testing a Real INVISIBILITY SHIELD (does it work?),Wolfie,UCbI2XhhZwo4NEyg3oNv2Tsw,752255,38845,2045,2020-08-03 00:00:05+00:00,https://i.ytimg.com/vi/kuzntqsZKU4/hqdefault.jpg,2020
t3Vah8sUFgI,Voting | ContraPoints,ContraPoints,UCNvsIonJdJ5E4EXMa65VYpA,1944436,133905,19605,2020-10-20 02:44:10+00:00,https://i.ytimg.com/vi/t3Vah8sUFgI/hqdefault.jpg,2020
p7LDk4D3Q3U,The Turning Point,Steve Cutts,UCpQLC-evmUAon9BBpcW4kYg,11098307,567388,16048,2020-01-01 21:27:33+00:00,https://i.ytimg.com/vi/p7LDk4D3Q3U/hqdefault.jpg,2020
PVmW4CoVXk0,i have something for you,Savannah Brown,UCDAjO0-hd_RS8ZYJ4W-Iq5Q,149454,8392,439,2020-03-13 13:49:45+00:00,https://i.ytimg.com/vi/PVmW4CoVXk0/hqdefault.jpg,2020
FZqSpMl4NFI,"New channel, Subscribe garum hai❤️",Manip Rai,UC7OvNX9t9tEuHTmDwptBkOg,5952,284,13,2020-05-12 18:02:02+00:00,https://i.ytimg.com/vi/FZqSpMl4NFI/hqdefault.jpg,2020
3xY3Q0LFy7U,6 SIMPLE INVENTIONS [NEW],MAD Science Hacks,UCRblKfe1TIvV7xnlOeuahKA,1682,45,10,2020-11-26 01:00:00+00:00,https://i.ytimg.com/vi/3xY3Q0LFy7U/hqdefault.jpg,2020
P4fYIWxmavI,"Alex Iulian x Cristi NMC - Pa, Pa (Official Visual)",Marian Ungureanu,UC9Ob3r3yaNn6Sshvo1O3-ow,107477,3876,130,2020-11-10 20:00:09+00:00,https://i.ytimg.com/vi/P4fYIWxmavI/hqdefault.jpg,2020
EW6WI6Mzsdk,Brawl Stars Battle in Minecraft - Animation,Quasar ►,UCUtSVA_ddHQJ-9UcxVKemIA,4703190,37928,278,2020-07-29 23:00:01+00:00,https://i.ytimg.com/vi/EW6WI6Mzsdk/hqdefault.jpg,2020
