video_id,title,channel_name,channel_id,view_count,like_count,comment_count,published_date,thumbnail,year
w7w59Zp8bEM,Osito Gominola - Full Spanish Version - The Gummy Bear Song,icanrockyourworld,UCLoKWb_rlp80mg0aSLtsUGw,1371636395,4129688,98140,2007-10-16 16:08:19+00:00,https://i.ytimg.com/vi/w7w59Zp8bEM/hqdefault.jpg,2007
Zx74j7sG06A,Yo Soy Tu Gummy Bear - Full Length Spanglish Version - The Gummy Bear Song,icanrockyourworld,UCLoKWb_rlp80mg0aSLtsUGw,78762093,210639,0,2007-11-29 14:35:25+00:00,https://i.ytimg.com/vi/Zx74j7sG06A/hqdefault.jpg,2007
IBHVNrUelKU,Boh3m3 I Need Your Help!!!,moviekidd826,UCKPo9yzmhTqn_I6PX9BbR1w,810169,25859,1248,2007-12-28 02:44:18+00:00,https://i.ytimg.com/vi/IBHVNrUelKU/hqdefault.jpg,2007
BLTWTKpP7g0,Ich Bin Dein Gummibär - Full German Version - The Gummy Bear Song,icanrockyourworld,UCLoKWb_rlp80mg0aSLtsUGw,68104094,86252,0,2007-10-15 15:15:11+00:00,https://i.ytimg.com/vi/BLTWTKpP7g0/hqdefault.jpg,2007
Icv3eUKcjqw,Jag Är En Gummibjörn - Full Swedish Version - The Gummy Bear Song,icanrockyourworld,UCLoKWb_rlp80mg0aSLtsUGw,86903145,151843,0,2007-10-17 13:45:04+00:00,https://i.ytimg.com/vi/Icv3eUKcjqw/hqdefault.jpg,2007
G30MhXmlZGE,Baba Yetu (by Christopher Tin) + Civilization IV Wonders,Jefflau,UCg_yF92ZIC2KXV4x1ho7egw,875426,4221,1171,2007-11-05 03:06:47+00:00,https://i.ytimg.com/vi/G30MhXmlZGE/hqdefault.jpg,2007
JLiPGMkgvhk,Eu Sou O Ursinho - Full Length Brazilian Version - The Gummy Bear Song,icanrockyourworld,UCLoKWb_rlp80mg0aSLtsUGw,39114798,173093,10545,2007-11-29 14:38:25+00:00,https://i.ytimg.com/vi/JLiPGMkgvhk/hqdefault.jpg,2007
astISOttCQ0,The Gummy Bear Song - Long English Version,icanrockyourworld,UCLoKWb_rlp80mg0aSLtsUGw,3751827725,9058218,0,2007-10-09 20:54:01+00:00,https://i.ytimg.com/vi/astISOttCQ0/hqdefault.jpg,2007
unnhteztJ3g,Madden Adventures,moviekidd826,UCKPo9yzmhTqn_I6PX9BbR1w,519101,11717,659,2007-12-23 09:34:22+00:00,https://i.ytimg.com/vi/unnhteztJ3g/hqdefault.jpg,2007
RpVqM2TGhiE,Itt Van A Gummimaci - Full Length Hungarian Version - The Gummy Bear Song,icanrockyourworld,UCLoKWb_rlp80mg0aSLtsUGw,135585664,340213,13482,2007-10-09 23:06:35+00:00,https://i.ytimg.com/vi/RpVqM2TGhiE/hqdefault.jpg,2007
5H59Py7KApU,Je m'appelle Funny Bear - Full French Version - Gummy Bear Song,icanrockyourworld,UCLoKWb_rlp80mg0aSLtsUGw,535384752,1026869,45709,2007-10-15 14:22:05+00:00,https://i.ytimg.com/vi/5H59Py7KApU/hqdefault.jpg,2007
