video_id,title,channel_name,channel_id,view_count,like_count,comment_count,published_date,thumbnail,year
LITd5P7DHw8,UFC 229: Khabib vs. McGregor  -  'Big Drama Show' Trailer,Hizzer Edits,UCgBKZ5hugH6GbTkL1BkDYFQ,528965,10595,932,2018-08-07 02:34:12+00:00,https://i.ytimg.com/vi/LITd5P7DHw8/hqdefault.jpg,2018
gSGmpG4tyDk,LEGO Stop Motion Christmas Special - Merry Christmas Everyone,Let's Do This,UC5_W-32eqH8HGAS68T_PH6w,18857,187,17,2018-12-24 11:30:00+00:00,https://i.ytimg.com/vi/gSGmpG4tyDk/hqdefault.jpg,2018
lQEfujv-qEQ,Azealia Banks - Soda (Official Audio),AzealiaBanksVEVO,UCPR8RgeVZjJ3ogh45KyepCg,201375,3825,277,2018-09-25 19:00:04+00:00,https://i.ytimg.com/vi/lQEfujv-qEQ/hqdefault.jpg,2018
JZveA-NAIDI,Let Me Be Frank,Kevin Spacey,UCeTSuWNp2vCA7qQA9IE5gdA,13987304,306579,46326,2018-12-24 18:02:55+00:00,https://i.ytimg.com/vi/JZveA-NAIDI/hqdefault.jpg,2018
Bjh0GVBq6xA,Nightcore - God Is A Girl (W&W),Maikel6311's Nightcore,UCL-ltQirVJ1rfyZyVz9EeoA,400765,4358,189,2018-09-30 21:00:00+00:00,https://i.ytimg.com/vi/Bjh0GVBq6xA/hqdefault.jpg,2018
WM7AmIHICPI,"Babysitting Fail SKIT! Disaster at Park! Curious Baby, will Gia find her sister?",Funflix Fam,UCBO2ZO3Jf28yVkc2qjIoHgg,9501470,13316,0,2018-06-22 13:50:16+00:00,https://i.ytimg.com/vi/WM7AmIHICPI/hqdefault.jpg,2018
nHPpoouXM_k,NEW GTA 5 ONLINE MONEY TRICK! (easy),Chaotic,UCAXo8GgC5-MU2PUTuQbR5eg,53916,963,63,2018-09-07 16:53:20+00:00,https://i.ytimg.com/vi/nHPpoouXM_k/hqdefault.jpg,2018
Sjq0lHRFibk,REAGINDO AOS PIORES MICOS DO CARNAVAL,AbudTV,UCecBPmVRx7-Iu5T45fK0fWw,42964,4464,127,2018-02-16 21:24:19+00:00,https://i.ytimg.com/vi/Sjq0lHRFibk/hqdefault.jpg,2018
NVoI-meBQIg,Paracord Tutorial: How To Tie A 3 Strand Single Matthew Walker Knot,WhyKnot,UCJPUVhpTkE9MCH_3e5YavyA,144668,1611,44,2018-01-11 04:15:09+00:00,https://i.ytimg.com/vi/NVoI-meBQIg/hqdefault.jpg,2018
TRtJ-SQyY6E,Splits: My story of how I got there within 1000 hours,JeromeFitness,UCMHRsRcbsKW1Xw9CPANpz2A,7710,192,26,2018-06-11 15:00:02+00:00,https://i.ytimg.com/vi/TRtJ-SQyY6E/hqdefault.jpg,2018
