video_id,title,channel_name,channel_id,view_count,like_count,comment_count,published_date,thumbnail,year
by__VZRA9Wc,New Edition - My Secret (Didja Gitit Yet?) (Official Music Video),NewEditionVEVO,UCgxV6Sb6-mKQt2rCMubEexw,3133504,22111,1379,2009-11-20 19:22:39+00:00,https://i.ytimg.com/vi/by__VZRA9Wc/hqdefault.jpg,2009
FkkK5lTmBYQ,Insulin Signaling (Signal Pathways),ndsuvirtualcell,UCcSThfV7yiW9I5hXBnEk9Zg,371956,1661,54,2009-12-03 20:34:05+00:00,https://i.ytimg.com/vi/FkkK5lTmBYQ/hqdefault.jpg,2009
lCbUZqN8JZ0,Europe - Cherokee,EuropeVEVO,UCnzCV_PxVZ-hsOrTy2NGxJw,8233892,28758,1664,2009-10-25 23:26:33+00:00,https://i.ytimg.com/vi/lCbUZqN8JZ0/hqdefault.jpg,2009
NUEYvuRyFJU,400mW RGB laser - ThinkTank Tech,ThinkTank Technologies,UC9RAy3cFnJ4-u2pNjLN54qQ,15871,9,0,2009-07-11 23:24:18+00:00,https://i.ytimg.com/vi/NUEYvuRyFJU/hqdefault.jpg,2009
6yzPtpiW4qY,Twirlophone - Britains Got Talent 2009 Episode 3 - 25th April,Davy Leyland,UCPWqtP-oLm9wRxQIqgMW6ag,61944,33,12,2009-04-25 20:44:18+00:00,https://i.ytimg.com/vi/6yzPtpiW4qY/hqdefault.jpg,2009
Tg97JiBn1kE,Bob Marley - Get Up Stand Up,bool,UC9gpY0JFqdJJbTPY7Ojvh1g,7086688,46069,1713,2009-06-16 22:25:00+00:00,https://i.ytimg.com/vi/Tg97JiBn1kE/hqdefault.jpg,2009
zbjvgqz1M10,Blackstreet - (Money Can't) Buy Me Love,BlackstreetVEVO,UCUHtgunZcEYMFaFe3F0c_Ww,5203973,38510,1222,2009-10-08 23:48:24+00:00,https://i.ytimg.com/vi/zbjvgqz1M10/hqdefault.jpg,2009
rzwb7RieU1U,Cypress Hill - I Wanna Get High,bool,UC9gpY0JFqdJJbTPY7Ojvh1g,52722,148,6,2009-01-31 14:58:45+00:00,https://i.ytimg.com/vi/rzwb7RieU1U/hqdefault.jpg,2009
mU15f51-uHI,Cypress Hill - Yo Quiero Fumar Mota,bool,UC9gpY0JFqdJJbTPY7Ojvh1g,17268207,116613,3392,2009-01-31 15:36:02+00:00,https://i.ytimg.com/vi/mU15f51-uHI/hqdefault.jpg,2009
VMdSc_vcu_8,How To Make a YouTube Video,moviekidd826,UCKPo9yzmhTqn_I6PX9BbR1w,1822744,75540,5513,2009-09-03 02:14:32+00:00,https://i.ytimg.com/vi/VMdSc_vcu_8/hqdefault.jpg,2009
z2SjGIXUu3E,Mr Bean Animated Episode 46 (1/2) of 47,Darkhorse,UCiuO5k6-gCsqgW6R7kC2I5A,11395022,13068,433,2009-09-20 14:12:49+00:00,https://i.ytimg.com/vi/z2SjGIXUu3E/hqdefault.jpg,2009
pxnt8_c_b0k,Gammelt Nytt (Old News),Lasse Gjertsen,UCz_gUjScjyhPg58hvdk4LDA,356185,5207,966,2009-04-24 09:16:25+00:00,https://i.ytimg.com/vi/pxnt8_c_b0k/hqdefault.jpg,2009
zjAVa9RAfWQ,ARE YOU GAY?,BuckHollywood,UCzDIsPJjO0K5P00jG8JjlRg,786578,26663,6861,2009-01-07 20:30:27+00:00,https://i.ytimg.com/vi/zjAVa9RAfWQ/hqdefault.jpg,2009
ELtpTBf-pMU,Europe - Rock The Night,EuropeVEVO,UCnzCV_PxVZ-hsOrTy2NGxJw,40006853,219414,8567,2009-11-14 12:59:10+00:00,https://i.ytimg.com/vi/ELtpTBf-pMU/hqdefault.jpg,2009
Liy-H9nBloo,Quack,Dan Brown,UCkSj-DR2aS3_wPmAE7d7Qlg,65259,1462,790,2009-03-07 17:38:02+00:00,https://i.ytimg.com/vi/Liy-H9nBloo/hqdefault.jpg,2009
HsnTPmRt7XQ,Prom,moviekidd826,UCKPo9yzmhTqn_I6PX9BbR1w,3140267,120444,5048,2009-05-28 04:44:32+00:00,https://i.ytimg.com/vi/HsnTPmRt7XQ/hqdefault.jpg,2009
T0_PHVhY6oU,Yo quiero ser feliz - Los Temerarios,alkss20,UCcXr3LMqL20DuDJMqaYLbyQ,965421,5057,269,2009-08-16 02:23:02+00:00,https://i.ytimg.com/vi/T0_PHVhY6oU/hqdefault.jpg,2009
IBxw2O_VQ5s,I'm so in love with you - Basshunter,alkss20,UCcXr3LMqL20DuDJMqaYLbyQ,4129,21,1,2009-08-18 22:05:35+00:00,https://i.ytimg.com/vi/IBxw2O_VQ5s/hqdefault.jpg,2009
X5OqkD2OG-o,New Edition - You're Not My Kind Of Girl,NewEditionVEVO,UCgxV6Sb6-mKQt2rCMubEexw,27061309,157307,9044,2009-11-23 00:56:20+00:00,https://i.ytimg.com/vi/X5OqkD2OG-o/hqdefault.jpg,2009
YTdxdr9pNnw,New Edition - Mr. Telephone Man,NewEditionVEVO,UCgxV6Sb6-mKQt2rCMubEexw,29332511,397685,8688,2009-12-24 23:59:40+00:00,https://i.ytimg.com/vi/YTdxdr9pNnw/hqdefault.jpg,2009
OSWKw15rCoI,4 Non Blondes - Spaceman (Official Music Video),4NonBlondesVEVO,UCJsu1rqVUJckZ-nSTLIWjcg,17611847,117259,3571,2009-10-09 03:32:24+00:00,https://i.ytimg.com/vi/OSWKw15rCoI/hqdefault.jpg,2009
DBUz2nkOKsc,Blackstreet - Don't Leave Me (Official Video),BlackstreetVEVO,UCUHtgunZcEYMFaFe3F0c_Ww,122479926,793837,20426,2009-11-22 10:20:21+00:00,https://i.ytimg.com/vi/DBUz2nkOKsc/hqdefault.jpg,2009
3KL9mRus19o,"Blackstreet - No Diggity (Official Music Video) ft. Dr. Dre, Queen Pen",BlackstreetVEVO,UCUHtgunZcEYMFaFe3F0c_Ww,425347448,2424524,42038,2009-10-09 03:19:45+00:00,https://i.ytimg.com/vi/3KL9mRus19o/hqdefault.jpg,2009
atay0p2Ta3w,Susan Boyle {Singer} | Britains Got Talent FINAL | Saturday 30th May 2009,Davy Leyland,UCPWqtP-oLm9wRxQIqgMW6ag,281332,850,76,2009-05-30 20:51:33+00:00,https://i.ytimg.com/vi/atay0p2Ta3w/hqdefault.jpg,2009
SFkHylBiPyQ,Erykah Badu - Honey,ErykahBaduVEVO,UCTeGHGnuF6bG7l6tS_hnmvQ,15059003,96153,3201,2009-06-17 01:32:22+00:00,https://i.ytimg.com/vi/SFkHylBiPyQ/hqdefault.jpg,2009
Ha-_SEwO3Rk,"Ja Rule, Ashanti, Nas, 2Pac - The Pledge (Remix) (Official Music Video)",JaRuleVEVO,UCpUZuQ6B9_TXD2FbvFf3RCg,6942383,50708,3961,2009-12-25 08:32:31+00:00,https://i.ytimg.com/vi/Ha-_SEwO3Rk/hqdefault.jpg,2009
IBGYRtVqVSM,Damian Marley - Beautiful ft. Bobby Brown,DamianMarleyVEVO,UCZKXNdqxqIFavuBFwci1Slg,29124206,139970,5285,2009-06-17 05:28:13+00:00,https://i.ytimg.com/vi/IBGYRtVqVSM/hqdefault.jpg,2009
8tI1_KlO6xI,Culture Club - Time (Clock Of The Heart),CultureClubVEVO,UCWGqNXQw31gop5mmpzLMBzg,46348960,252540,18848,2009-06-02 23:51:21+00:00,https://i.ytimg.com/vi/8tI1_KlO6xI/hqdefault.jpg,2009
xDdGrlylcEU,Limp Bizkit - Counterfeit (Official Music Video),LimpBizkitVEVO,UCUPvo-jwM02Fp-vigFEiG2A,12102145,81424,3661,2009-12-02 19:33:17+00:00,https://i.ytimg.com/vi/xDdGrlylcEU/hqdefault.jpg,2009
iaFaaRFi72w,Cypress Hill - Low Rider,bool,UC9gpY0JFqdJJbTPY7Ojvh1g,116910,292,17,2009-01-31 15:08:55+00:00,https://i.ytimg.com/vi/iaFaaRFi72w/hqdefault.jpg,2009
oRYxZZpgDnY,Tetris - Basshunter,alkss20,UCcXr3LMqL20DuDJMqaYLbyQ,5580,20,1,2009-08-18 22:06:01+00:00,https://i.ytimg.com/vi/oRYxZZpgDnY/hqdefault.jpg,2009
Zb117j9KIcM,Ja Rule - Clap Back,JaRuleVEVO,UCpUZuQ6B9_TXD2FbvFf3RCg,23499876,183462,6788,2009-06-17 01:51:19+00:00,https://i.ytimg.com/vi/Zb117j9KIcM/hqdefault.jpg,2009
xvaEJzoaYZk,Steve Earle - Copperhead Road (Official Music Video),SteveEarleVEVO,UCGFLa8vQBZIzn-Coxjcfi8w,300786384,1112438,41230,2009-10-06 18:23:06+00:00,https://i.ytimg.com/vi/xvaEJzoaYZk/hqdefault.jpg,2009
L5tMfNX8UCM,Coldplay - The Scientist (Cover) Piano,crariyo,UCFZZMdlQ-E2hIV7miM77NwA,5467,38,16,2009-01-01 19:35:52+00:00,https://i.ytimg.com/vi/L5tMfNX8UCM/hqdefault.jpg,2009
kGLSTttAiX8,Mr Bean Animated Episode 47 (1/2) of 47,Darkhorse,UCiuO5k6-gCsqgW6R7kC2I5A,42719391,41910,0,2009-09-20 14:16:33+00:00,https://i.ytimg.com/vi/kGLSTttAiX8/hqdefault.jpg,2009
-RZkyvfOFn4,Majek Fashek - Hotel California,bool,UC9gpY0JFqdJJbTPY7Ojvh1g,4477697,11238,1144,2009-06-16 22:35:49+00:00,https://i.ytimg.com/vi/-RZkyvfOFn4/hqdefault.jpg,2009
QGzq2HQ2YRs,Young Money - Every Girl (Official Music Video),YoungMoneyVEVO,UCZL73CxLEGOTcWBnpMuaCJA,32279810,161859,12350,2009-11-22 08:52:49+00:00,https://i.ytimg.com/vi/QGzq2HQ2YRs/hqdefault.jpg,2009
Jeu4l7Mnf9I,4 Non Blondes - Superfly (Official Music Video),4NonBlondesVEVO,UCJsu1rqVUJckZ-nSTLIWjcg,6609116,38784,1171,2009-10-08 09:48:21+00:00,https://i.ytimg.com/vi/Jeu4l7Mnf9I/hqdefault.jpg,2009
4H3Ko1WyxxI,INSANE POGO STICKS!,Dan Brown,UCkSj-DR2aS3_wPmAE7d7Qlg,804048,4399,898,2009-08-29 20:46:30+00:00,https://i.ytimg.com/vi/4H3Ko1WyxxI/hqdefault.jpg,2009
HVzAH0FtNwg,Culture Club - Church Of The Poison Mind,CultureClubVEVO,UCWGqNXQw31gop5mmpzLMBzg,11302665,61847,4406,2009-06-02 23:51:25+00:00,https://i.ytimg.com/vi/HVzAH0FtNwg/hqdefault.jpg,2009
87HjsK10_74,4 Non Blondes - Dear Mr. President (Official Music Video),4NonBlondesVEVO,UCJsu1rqVUJckZ-nSTLIWjcg,11934753,82488,3065,2009-10-07 09:59:52+00:00,https://i.ytimg.com/vi/87HjsK10_74/hqdefault.jpg,2009
SAho7YBvitc,Steve Earle & The Dukes - Nowhere Road,SteveEarleVEVO,UCGFLa8vQBZIzn-Coxjcfi8w,2680633,10979,429,2009-10-05 22:49:45+00:00,https://i.ytimg.com/vi/SAho7YBvitc/hqdefault.jpg,2009
E5a93wABHNM,"Dr. Dre - Forgot About Dre ft. Eminem, Hittman",DrDreVEVO,UCx4Lxn5CzeG99X01__YsJpw,59535759,344393,19252,2009-06-17 00:12:23+00:00,https://i.ytimg.com/vi/E5a93wABHNM/hqdefault.jpg,2009
qnkuBUAwfe0,Creed - One Last Breath (Official HD Music Video),CreedVEVO,UCis-JwIzHYm1mKnNyPz9RJg,435910841,2289678,74734,2009-12-02 09:36:53+00:00,https://i.ytimg.com/vi/qnkuBUAwfe0/hqdefault.jpg,2009
mnXrdB2t1-Q,Immortal Technique - Silence,bool,UC9gpY0JFqdJJbTPY7Ojvh1g,31000,295,27,2009-08-12 22:55:21+00:00,https://i.ytimg.com/vi/mnXrdB2t1-Q/hqdefault.jpg,2009
4Ny-il7Cy8A,Ja Rule - Down Ass Chick ft. Charlie Baltimore,JaRuleVEVO,UCpUZuQ6B9_TXD2FbvFf3RCg,54163966,376449,9869,2009-12-25 08:33:45+00:00,https://i.ytimg.com/vi/4Ny-il7Cy8A/hqdefault.jpg,2009
OqN0jsSeqPo,Erykah Badu - Bag Lady,ErykahBaduVEVO,UCTeGHGnuF6bG7l6tS_hnmvQ,38750866,298375,6710,2009-06-16 22:20:38+00:00,https://i.ytimg.com/vi/OqN0jsSeqPo/hqdefault.jpg,2009
qAZN-G2jHkU,Shaheen Jafargholi {Singer} | Britains Got Talent Final 2009 | Saturday 30th May 2009,Davy Leyland,UCPWqtP-oLm9wRxQIqgMW6ag,99677,287,151,2009-05-31 06:57:36+00:00,https://i.ytimg.com/vi/qAZN-G2jHkU/hqdefault.jpg,2009
SWZok7Y6X7I,Kung Fu,Dan Brown,UCkSj-DR2aS3_wPmAE7d7Qlg,55255,1536,356,2009-08-11 19:18:53+00:00,https://i.ytimg.com/vi/SWZok7Y6X7I/hqdefault.jpg,2009
hJkjXVJlVpc,Mr Bean Animated Episode 46 (2/2) of 47,Darkhorse,UCiuO5k6-gCsqgW6R7kC2I5A,4331995,6349,184,2009-09-20 14:14:23+00:00,https://i.ytimg.com/vi/hJkjXVJlVpc/hqdefault.jpg,2009
N55FcGYwPqM,Mr Bean Animated Episode 47 (2/2) of 47,Darkhorse,UCiuO5k6-gCsqgW6R7kC2I5A,22458212,33160,804,2009-09-20 14:17:32+00:00,https://i.ytimg.com/vi/N55FcGYwPqM/hqdefault.jpg,2009
Ol0PPyQ3HyU,DJ Talent - Britains Got Talent 2009 Episode 3 - 25th April,Davy Leyland,UCPWqtP-oLm9wRxQIqgMW6ag,76456,170,52,2009-04-25 22:31:09+00:00,https://i.ytimg.com/vi/Ol0PPyQ3HyU/hqdefault.jpg,2009
7a9uhrhIlBQ,New Edition - Count Me Out (Official Music Video),NewEditionVEVO,UCgxV6Sb6-mKQt2rCMubEexw,5652057,43143,2389,2009-12-20 07:47:46+00:00,https://i.ytimg.com/vi/7a9uhrhIlBQ/hqdefault.jpg,2009
07vnBwaQF-k,Blackstreet - Joy (Official Video),BlackstreetVEVO,UCUHtgunZcEYMFaFe3F0c_Ww,8516923,83516,4483,2009-11-23 00:57:02+00:00,https://i.ytimg.com/vi/07vnBwaQF-k/hqdefault.jpg,2009
Ha80ZaecGkQ,Young Money - Bed Rock (Official Music Video),YoungMoneyVEVO,UCZL73CxLEGOTcWBnpMuaCJA,379073323,1698315,89931,2009-12-16 21:59:06+00:00,https://i.ytimg.com/vi/Ha80ZaecGkQ/hqdefault.jpg,2009
As8gVOUzLCc,Creed - Don't Stop Dancing,CreedVEVO,UCis-JwIzHYm1mKnNyPz9RJg,49125762,250199,8188,2009-12-02 09:43:14+00:00,https://i.ytimg.com/vi/As8gVOUzLCc/hqdefault.jpg,2009
YewVugPHon4,Culture Club - It's A Miracle,CultureClubVEVO,UCWGqNXQw31gop5mmpzLMBzg,11321236,71839,3695,2009-06-02 23:52:26+00:00,https://i.ytimg.com/vi/YewVugPHon4/hqdefault.jpg,2009
ituFNPXAaE8,Steve Earle & The Dukes - I Ain't Ever Satisfied,SteveEarleVEVO,UCGFLa8vQBZIzn-Coxjcfi8w,1850409,7505,442,2009-10-06 02:51:35+00:00,https://i.ytimg.com/vi/ituFNPXAaE8/hqdefault.jpg,2009
cebqNaSF8A0,Diversity {Dance Act} | Britain's Got Talent FINAL WINNERS | Saturday 30th May 2009,Davy Leyland,UCPWqtP-oLm9wRxQIqgMW6ag,249089,655,56,2009-05-30 20:13:29+00:00,https://i.ytimg.com/vi/cebqNaSF8A0/hqdefault.jpg,2009
9yRme0C2pmI,Soulja Boy Tell'em - Turn My Swag On (Official Music Video),SouljaBoyTellemVEVO,UCK5Z4cLoPQrbOXVsrD7Vigw,63069885,439951,41017,2009-12-14 05:09:15+00:00,https://i.ytimg.com/vi/9yRme0C2pmI/hqdefault.jpg,2009
7LyHuUXXgiA,Simba Wa Africa - Britains Got Talent 2009 Episode 3 - 25th April,Davy Leyland,UCPWqtP-oLm9wRxQIqgMW6ag,126528,155,49,2009-04-25 20:41:23+00:00,https://i.ytimg.com/vi/7LyHuUXXgiA/hqdefault.jpg,2009
Ac8DIwK2T4w,Heaven - Basshunter,alkss20,UCcXr3LMqL20DuDJMqaYLbyQ,3556,12,1,2009-08-18 22:02:34+00:00,https://i.ytimg.com/vi/Ac8DIwK2T4w/hqdefault.jpg,2009
UvoCLCsMbcI,Waldo Towey,speechme9349,UCXMksQAnCSAWG06GX2GDMmg,5020,11,0,2009-03-24 00:42:53+00:00,https://i.ytimg.com/vi/UvoCLCsMbcI/hqdefault.jpg,2009
b5NXlIlygts,Ja Rule - Thug Lovin' ft. Bobby Brown,JaRuleVEVO,UCpUZuQ6B9_TXD2FbvFf3RCg,34744982,251862,18589,2009-06-17 00:28:52+00:00,https://i.ytimg.com/vi/b5NXlIlygts/hqdefault.jpg,2009
y1fhVIM1sj0,New Edition - Crucial,NewEditionVEVO,UCgxV6Sb6-mKQt2rCMubEexw,859294,4603,327,2009-12-20 05:34:28+00:00,https://i.ytimg.com/vi/y1fhVIM1sj0/hqdefault.jpg,2009
L_jWHffIx5E,Smash Mouth - All Star,SmashMouthVEVO,UCgGEU8jHmCNtFI7n_AG-03g,540208705,6376855,347880,2009-12-25 08:26:36+00:00,https://i.ytimg.com/vi/L_jWHffIx5E/hqdefault.jpg,2009
rxmFCyHQSpw,In da club - Basshunter,alkss20,UCcXr3LMqL20DuDJMqaYLbyQ,4789,18,0,2009-08-18 22:04:38+00:00,https://i.ytimg.com/vi/rxmFCyHQSpw/hqdefault.jpg,2009
GxsAJNroN7k,Hollie Steel - Britains Got Talent 2009 Episode 3 - 25th April,Davy Leyland,UCPWqtP-oLm9wRxQIqgMW6ag,4136268,11304,1643,2009-04-25 20:41:48+00:00,https://i.ytimg.com/vi/GxsAJNroN7k/hqdefault.jpg,2009
on9TXY8kYyk,Inner Circle- Bad Boys,bool,UC9gpY0JFqdJJbTPY7Ojvh1g,157387185,1302507,33844,2009-06-15 23:39:10+00:00,https://i.ytimg.com/vi/on9TXY8kYyk/hqdefault.jpg,2009
CFLXxqoapPY,Creed - Overcome,CreedVEVO,UCis-JwIzHYm1mKnNyPz9RJg,8270203,38786,1868,2009-12-02 09:19:54+00:00,https://i.ytimg.com/vi/CFLXxqoapPY/hqdefault.jpg,2009
Jjt1A5nEZBg,Reading Book Sharing with a young child,speechme9349,UCXMksQAnCSAWG06GX2GDMmg,4326,3,0,2009-01-25 18:23:18+00:00,https://i.ytimg.com/vi/Jjt1A5nEZBg/hqdefault.jpg,2009
J16lInLZRms,Creed - Higher (Official HD Music Video),CreedVEVO,UCis-JwIzHYm1mKnNyPz9RJg,99755178,510276,21548,2009-12-02 09:58:40+00:00,https://i.ytimg.com/vi/J16lInLZRms/hqdefault.jpg,2009
ba9wJT_ospw,Arctic Monkeys - Teddy Picker,ArcticMonkeysVEVO,UCmgvZnEAR3OCIoiSColVmZQ,12951,241,13,2009-03-07 11:28:54+00:00,https://i.ytimg.com/vi/ba9wJT_ospw/hqdefault.jpg,2009
