video_id,title,channel_name,channel_id,view_count,like_count,comment_count,published_date,thumbnail,year
6fQvgiyx_6A,Minecraft Compact Calculator,FV Disco,UCJ6oisIrPR4WqJbk6JeLoBw,1511537,16568,3395,2012-10-22 20:55:22+00:00,https://i.ytimg.com/vi/6fQvgiyx_6A/hqdefault.jpg,2012
9NXCA7wBLYc,True | Lesbian Short Film,Strang Entertainment,UCN7yJQyTifudj1RWKb94OvA,84860948,34843,1663,2012-06-28 07:30:30+00:00,https://i.ytimg.com/vi/9NXCA7wBLYc/hqdefault.jpg,2012
qugU7ADZQKo,Star Wars san francisco adventure vlog,mike diva 2,UC4VppoOwM5DzVHKWx5RJiCg,37392,620,204,2012-01-05 07:02:45+00:00,https://i.ytimg.com/vi/qugU7ADZQKo/hqdefault.jpg,2012
L05TA7MnH58,Murcielago LP2000-2 SV TT (Stig is finished!),Robert Himler & Amy Sangster,UCoAXEFRIYMDlFRB2KTe1PzA,426440,2131,354,2012-09-16 00:34:00+00:00,https://i.ytimg.com/vi/L05TA7MnH58/hqdefault.jpg,2012
B7_ipr8mKGY,The Pink Panther Show Episode 123 - Pink Suds,PinkPanthersShow,UC1fIyfhQtm1fSljyKBf2uKA,4790518,45607,496,2012-12-27 06:30:51+00:00,https://i.ytimg.com/vi/B7_ipr8mKGY/hqdefault.jpg,2012
VSAoggVnbb4,The Desolate Hope- Secret Boss,Scott Cawthon,UC2Xp5JeeO9sP6bhc-9yD1xA,513391,8560,1531,2012-05-03 12:38:53+00:00,https://i.ytimg.com/vi/VSAoggVnbb4/hqdefault.jpg,2012
8EulIiO66aU,Heart attack-Trey Songz Lyrics,Shierlly Medina,UCieypd5tyPxxgKg-HITf3gg,79454,845,27,2012-03-30 06:25:27+00:00,https://i.ytimg.com/vi/8EulIiO66aU/hqdefault.jpg,2012
d1ssmxNTENM,Major Lazer - Backstage with Fuse (Bonnaroo 2012),MajorLazerVEVO,UCouK2xKynWUBlknnuhdTTgg,147430,367,51,2012-06-11 22:26:38+00:00,https://i.ytimg.com/vi/d1ssmxNTENM/hqdefault.jpg,2012
4q4Odj4XTfA,Nevada Desert,tomjoetwins,UC_1bK87yFABdUP5CQlB5JVw,42275,310,184,2012-04-21 17:00:10+00:00,https://i.ytimg.com/vi/4q4Odj4XTfA/hqdefault.jpg,2012
93hkwuAu064,Minecraft SUPER Pig Powered Slot Machine,FV Disco,UCJ6oisIrPR4WqJbk6JeLoBw,2929172,18706,2795,2012-02-26 15:16:10+00:00,https://i.ytimg.com/vi/93hkwuAu064/hqdefault.jpg,2012
