video_id,title,channel_name,channel_id,view_count,like_count,comment_count,published_date,thumbnail,year
pI6wiiPnVQY,Rowan Atkinson Live -  How to Date [Part 1],Rowan Atkinson Live,UCvlkMq7QfHFK5VJZa0aeMeQ,601947,7732,0,2014-01-31 18:04:55+00:00,https://i.ytimg.com/vi/pI6wiiPnVQY/hqdefault.jpg,2014
jSCozVB4Jxk,"40 Surprise eggs, Маша и Медведь Kinder Surprise Mickey Mouse Disney Pixar Cars 2",SurpriseToys,UCmk5QB4JE-RT3ig4kvtVYxg,93526944,77240,0,2014-06-29 19:00:02+00:00,https://i.ytimg.com/vi/jSCozVB4Jxk/hqdefault.jpg,2014
_LnbUBRP6mw,COMING OUT!,deefizzy,UCQ8bJ0GCE7aofpkrJvVresQ,912841,36914,3687,2014-06-01 21:22:29+00:00,https://i.ytimg.com/vi/_LnbUBRP6mw/hqdefault.jpg,2014
OF2c2xY3Sq8,Top 10 Plays of NBA Finals,m2e1iriko,UCTuPbZch1tt7K7K5ANc6GFQ,28726,199,14,2014-06-17 19:00:24+00:00,https://i.ytimg.com/vi/OF2c2xY3Sq8/hqdefault.jpg,2014
hZC7zuhkLRU,Animals of YouTube sing Up On The Housetop,Talking Animals,UCreVub8zOW6R2zg15FfBq4A,1225776,17585,1595,2014-12-22 05:01:51+00:00,https://i.ytimg.com/vi/hZC7zuhkLRU/hqdefault.jpg,2014
NIF9AuHZQ8o,THE TURKEYS - Tinker. Tailor. Soldier. Ringworm. (Ep 3 of 5),My Damn Channel,UC4W7m1U5PZGsbX_YVBLKUZQ,1457,15,3,2014-12-09 13:00:18+00:00,https://i.ytimg.com/vi/NIF9AuHZQ8o/hqdefault.jpg,2014
1Xh2VWjNQW8,"Angry Birds Morph Lite, Mashems, Trash Pack, Transformers, Shopkins, LPS, Lego,",Candy Toys,UCiB_4UxpKpW8eyREU8OrNKQ,3171046,4010,0,2014-10-09 20:32:29+00:00,https://i.ytimg.com/vi/1Xh2VWjNQW8/hqdefault.jpg,2014
td2wFcD424Y,The Walk Home,Steve Cutts,UCpQLC-evmUAon9BBpcW4kYg,3486311,105407,4705,2014-12-03 19:49:33+00:00,https://i.ytimg.com/vi/td2wFcD424Y/hqdefault.jpg,2014
bYJrC3RTtgQ,Secret Eaters S01 E01 Season One,ErmmTV2,UCWbgsEyoP-xaKfJLKLkb2Fg,1349815,7054,1681,2014-03-26 04:09:38+00:00,https://i.ytimg.com/vi/bYJrC3RTtgQ/hqdefault.jpg,2014
LhDtjM3I0zw,The War of the Word | BECOMING YOUTUBE | Video 11,ninebrassmonkeys,UCR2scj6uM8L1x1nkYTlpFrw,228555,16801,1042,2014-01-05 19:34:51+00:00,https://i.ytimg.com/vi/LhDtjM3I0zw/hqdefault.jpg,2014
h1ciu7bQVn4,DermTV Viewer Questions - November 2014 [DermTV.com Epi #565],dermTVdotcom,UCWl7rIYGLnCwVpuO1DmrEUQ,9806,172,32,2014-11-14 01:00:03+00:00,https://i.ytimg.com/vi/h1ciu7bQVn4/hqdefault.jpg,2014
Q8bx5O4Fth8,DOINA SPATARU   Petre Geambasu Show Band   POARTA SARUTULUI,Catalin Fleancu,UC6H-F615G4viXFrbb6FzPag,58638,381,23,2014-11-13 20:50:44+00:00,https://i.ytimg.com/vi/Q8bx5O4Fth8/hqdefault.jpg,2014
nvN_bk-3-Ts,Rahat Fateh Ali Khan - Rim Jhim (Lyric Video) ft. Shreya Ghoshal,RahatFAKhanVEVO,UCtFFUzhtZwZBQDCBlZRGi3A,3658154,16152,510,2014-08-14 10:00:05+00:00,https://i.ytimg.com/vi/nvN_bk-3-Ts/hqdefault.jpg,2014
VhNrSajqvd0,BEHIND THE SPOONS: Let It Snow,RichardGaleFilms,UChNoz-oXCZ9ZK0rQZZASKZg,121197,3209,239,2014-11-28 19:14:27+00:00,https://i.ytimg.com/vi/VhNrSajqvd0/hqdefault.jpg,2014
vglHNX80w2Q,"Gossip Girl, Season 5 Episode 8 - Somebody That I Used To Know",XOXO,UCYZFlEfmPpbLdkgaJ_nROnQ,53984,471,22,2014-01-03 09:39:35+00:00,https://i.ytimg.com/vi/vglHNX80w2Q/hqdefault.jpg,2014
TwHs38rTqV8,If Girls Were Guys at Prom,LeendaDProductions,UCQ0gG42bXPBi7yHx9UJyexQ,1098031,19092,357,2014-05-16 04:00:22+00:00,https://i.ytimg.com/vi/TwHs38rTqV8/hqdefault.jpg,2014
1xloPa44uzA,SoMo - We Can Make Love (SoMo Sessions),SoMoVEVO,UCVW1fsLe_n0vKk33MU0XRvA,8990383,65578,1932,2014-04-10 07:00:02+00:00,https://i.ytimg.com/vi/1xloPa44uzA/hqdefault.jpg,2014
1sLanxXBfDo,Learn English Conversation   Unit 20 Making a Reservation,Learn English Conversation,UC10pJ5AQ7e7nadBOtINDX6Q,106319,802,16,2014-01-13 18:28:58+00:00,https://i.ytimg.com/vi/1sLanxXBfDo/hqdefault.jpg,2014
EV9Dlrnqem8,Descent Into Cerberon - Quake II OST 1997,ML TOV,UC58OSoWDUr6jpoiJhfbM_GQ,646004,520,15,2014-10-21 09:57:53+00:00,https://i.ytimg.com/vi/EV9Dlrnqem8/hqdefault.jpg,2014
xNonOz3v0F8,Otoscopia,brunokguimaraes,UCGNtCC3-PSoj1i5RRwQFHaA,39911,93,3,2014-08-24 23:51:39+00:00,https://i.ytimg.com/vi/xNonOz3v0F8/hqdefault.jpg,2014
a8UD7WtiTEc,Иван Царевич и серый волк - Прыжки с трамплина/Ivan Tsarevich and the Grey Wolf & Ski Flying,Three Russian Bogaturs,UC30kowueHAFrltjUxGm346Q,9037962,48078,0,2014-02-12 15:25:44+00:00,https://i.ytimg.com/vi/a8UD7WtiTEc/hqdefault.jpg,2014
yu-Tp2sxhMI,Gotye - Hearts A Mess - official audio,gotyemusic,UCFC9LamNMmLioW643VZ40OA,2577159,21862,724,2014-05-13 07:28:33+00:00,https://i.ytimg.com/vi/yu-Tp2sxhMI/hqdefault.jpg,2014
MhAaiamabQo,Learn English Conversation   Unit 10 Planning a trip,Learn English Conversation,UC10pJ5AQ7e7nadBOtINDX6Q,178355,1645,46,2014-01-13 18:29:06+00:00,https://i.ytimg.com/vi/MhAaiamabQo/hqdefault.jpg,2014
sXOdn6vLCuU,Don't Hug Me I'm Scared 3,Don't Hug Me .I'm Scared,UCZOnoLKzoBItcEk5OsES2TA,34777514,590984,78680,2014-10-31 19:51:17+00:00,https://i.ytimg.com/vi/sXOdn6vLCuU/hqdefault.jpg,2014
oE-MH3GySzE,"BEST RAP BATTLE ON ADVANCED WARFARE Mickey Mouse, Donald Duck, Goofy, Kermit The Frog Voices",THE Vines,UCfTkN3ewswhBIih2_6mJvzA,2464,31,1,2014-11-30 22:15:57+00:00,https://i.ytimg.com/vi/oE-MH3GySzE/hqdefault.jpg,2014
Ap9eROAo82U,The Garden of Wraith - by Rolls Royce,TaxTheRich100,UCAl8a5FALYxgtfZwVh-3HRw,4772212,50265,1995,2014-09-30 16:00:02+00:00,https://i.ytimg.com/vi/Ap9eROAo82U/hqdefault.jpg,2014
-n5Krh_8j0Q,Calle 13 - Pa'l Norte (Cover Audio Video),Calle13VEVO,UCxfC3u6sFXzbeB9OkoEc_uA,1299295,10864,230,2014-11-20 04:57:10+00:00,https://i.ytimg.com/vi/-n5Krh_8j0Q/hqdefault.jpg,2014
XZ3eShmeugo,Advice from a Sloth on Work,AnimalistToo,UCo6mguVXRIjp_5kv6oCVzew,16089,330,14,2014-07-09 13:00:02+00:00,https://i.ytimg.com/vi/XZ3eShmeugo/hqdefault.jpg,2014
aLwiMFJ84ko,HELP #2,Don't Hug Me .I'm Scared,UCZOnoLKzoBItcEk5OsES2TA,8174337,154533,6713,2014-05-23 14:10:32+00:00,https://i.ytimg.com/vi/aLwiMFJ84ko/hqdefault.jpg,2014
0tihDUQe-oU,The Legend of Korra Season 3 Trailer Review - awesomeness for every episode?! Zuko?!,THINKAboutTheINK,UCWfQmYcecGWGUJuEfuiybOQ,54978,941,409,2014-06-15 15:47:39+00:00,https://i.ytimg.com/vi/0tihDUQe-oU/hqdefault.jpg,2014
uvK5lSyk2eU,Plan B - El Matadero ft. Alexis y Fido,planbVEVO,UCejLTr26aV1sOcLWEUvggxA,39970169,166149,3181,2014-09-25 06:09:00+00:00,https://i.ytimg.com/vi/uvK5lSyk2eU/hqdefault.jpg,2014
JIr4zk9ZYUM,Workshop announcement & what's up with JuBaFilms?,JuBaFilms,UCMzXLrMMb6Ip0CpfyNxBCwA,89160,4122,179,2014-10-03 17:44:28+00:00,https://i.ytimg.com/vi/JIr4zk9ZYUM/hqdefault.jpg,2014
SqYJYcSTUac,Kids songs DAYCARE DANCE PARTY - funny disco dance song cartoon music video by Preschool Popstars,Preschool Popstars - Kids Songs,UCmmP2MWqb9qHq4liyC2v_lw,6259308,9321,0,2014-03-01 09:01:09+00:00,https://i.ytimg.com/vi/SqYJYcSTUac/hqdefault.jpg,2014
