video_id,title,channel_name,channel_id,view_count,like_count,comment_count,published_date,thumbnail,year
aWJBkBBU7BY,"5 YOUTUBERS WHO HURT THEMSELVES WHILE MAKING A VIDEO - Roman Atwood, RomanAtwoodVlogs, Lance Stewart",YLST - YouLearnedSomethingToday,UCV0fE1af8FNsCyWR5im6w2g,1217601,11789,882,2016-10-26 20:22:35+00:00,https://i.ytimg.com/vi/aWJBkBBU7BY/hqdefault.jpg,2016
zpt8gjrbvVw,LA Dog Cafe,Uzoo,UCkv5aVgubNi-oLfSn85A0hA,11067,108,7,2016-07-20 17:10:12+00:00,https://i.ytimg.com/vi/zpt8gjrbvVw/hqdefault.jpg,2016
R-DT069APF8,GTA 5 FAILS: BEST MOMENTS EVER! (GTA 5 Funny Moments Compilation),Brox Shorts,UCyFBe6ZdKnSUUJ4NIUY7JaQ,8465429,48194,1959,2016-09-24 15:00:02+00:00,https://i.ytimg.com/vi/R-DT069APF8/hqdefault.jpg,2016
YmU7TbJXzF8,Glutes Workout for Women At Home - 3 Moves to Lift and Tone Your Butt,Vitality Advocate,UC-r9a_5nAJyex30RYNPACGA,151562,1408,30,2016-01-10 21:03:15+00:00,https://i.ytimg.com/vi/YmU7TbJXzF8/hqdefault.jpg,2016
rADfHy9gKa8,Nursing School Update: Summer 2016,Kathryn Ann,UCm_sleVIUzCXrqqmHEgMn6Q,31897,791,115,2016-06-26 05:23:05+00:00,https://i.ytimg.com/vi/rADfHy9gKa8/hqdefault.jpg,2016
dNNdFU-pncI,Definitely NOT Lesbian Anymore!,hartbeat,UC6GDV85ZQT785h8PD1LhPSg,236864,22927,1428,2016-06-06 21:10:26+00:00,https://i.ytimg.com/vi/dNNdFU-pncI/hqdefault.jpg,2016
fJENzTNAx6I,Derby Racers [With Lyrics] - My Little Pony Friendship is Magic Song,MLP songs,UCQldUbk5C2uIkm87TeOneaQ,1401382,2875,0,2016-08-07 04:00:03+00:00,https://i.ytimg.com/vi/fJENzTNAx6I/hqdefault.jpg,2016
BqXWpvoO6lw,Trip Hazard & Lucy - Britain's Got Talent 2016 Final,Spiritman Productions,UC_b5eLoSJ9pojH61dGegO5w,1229367,10146,363,2016-05-28 22:59:03+00:00,https://i.ytimg.com/vi/BqXWpvoO6lw/hqdefault.jpg,2016
4FfbzWmli_w,AREA 51-CAMO DUDES HELD US AT GUNPOINT AGAIN!! (Extended Version),MacADVentures,UCReTkzODS_UWJKLKuuNEETA,249357,4201,1471,2016-12-21 22:31:08+00:00,https://i.ytimg.com/vi/4FfbzWmli_w/hqdefault.jpg,2016
TMCWJiMj9O8,How To Get A Boyfriend in Hong Kong,LeendaDProductions,UCQ0gG42bXPBi7yHx9UJyexQ,1149581,18280,1564,2016-05-26 04:32:47+00:00,https://i.ytimg.com/vi/TMCWJiMj9O8/hqdefault.jpg,2016
huQoC2yZiyE,7 Unexpected Hydrogen Peroxide Uses | Howdini Hacks,Howdini,UCVgGMEGRpAwssYLCHNLz4EA,245475,2739,61,2016-05-13 17:57:43+00:00,https://i.ytimg.com/vi/huQoC2yZiyE/hqdefault.jpg,2016
357FnZktmQA,some bloopers from phil is not on fire 8,danisnotinteresting,UCXgXW0kqxnJM66dlh6V5Pxw,2666966,175255,15578,2016-12-25 20:42:13+00:00,https://i.ytimg.com/vi/357FnZktmQA/hqdefault.jpg,2016
