video_id,title,channel_name,channel_id,view_count,like_count,comment_count,published_date,thumbnail,year
5NRbwuCaQlM,"Oklahoma Tornado Damage (Moore, Oklahoma - May 20, 2013)",ZackScott,UCN34WNGYXgOqkJ5M3R7BByQ,196255,2707,811,2013-05-21 22:58:37+00:00,https://i.ytimg.com/vi/5NRbwuCaQlM/hqdefault.jpg,2013
TUYeRCzMQOc,Stroboscopy of the vocal cords with the Nokia 808 and SweetVision mobile 41,ThinkTank Technologies,UC9RAy3cFnJ4-u2pNjLN54qQ,537070,0,0,2013-07-07 00:49:42+00:00,https://i.ytimg.com/vi/TUYeRCzMQOc/hqdefault.jpg,2013
YVk0aWlF9Ec,Harry Potter and the Goblet of Fire - Trailer (HD),DutchHPfan1992,UCXjQanusrcGIKiFgnm7SFvA,70537,491,0,2013-01-09 16:10:09+00:00,https://i.ytimg.com/vi/YVk0aWlF9Ec/hqdefault.jpg,2013
jGpuLBOPM-Q,HD Christmas Steam Trains (part 1),Ervans Trains,UCQdo-z5pPkAjJONxsvXESXA,625586,810,59,2013-11-21 17:24:49+00:00,https://i.ytimg.com/vi/jGpuLBOPM-Q/hqdefault.jpg,2013
VsyaSyQuHAc,Survivor - I Can't Hold Back (Live in Japan 1985),SurvivorVEVO,UC2HeedakS9zS9CmOEJQntMg,1943517,15296,1207,2013-09-21 03:46:19+00:00,https://i.ytimg.com/vi/VsyaSyQuHAc/hqdefault.jpg,2013
z-FP4hpcJUk,Cristóbal Vila - Nature by Numbers,Anselmo La Manna,UC7pU77kvg9mCRf0aS_wz1yQ,25144,523,0,2013-09-22 22:28:17+00:00,https://i.ytimg.com/vi/z-FP4hpcJUk/hqdefault.jpg,2013
NEEJZy2hrs4,Zendaya - Bottle You Up (Acoustic),ZendayaVEVO,UCVQ2Z9dNQ2aJJ10f6SgBH0g,3477013,45127,1763,2013-10-04 15:40:04+00:00,https://i.ytimg.com/vi/NEEJZy2hrs4/hqdefault.jpg,2013
EZCfJqr7Eao,Pokemon Gun.,RubberNinja,UCsW0LA-ThH18OCrT9pa2zfQ,13542533,145430,8772,2013-12-18 20:00:44+00:00,https://i.ytimg.com/vi/EZCfJqr7Eao/hqdefault.jpg,2013
mrNKVh0zsh8,1944 German Paratroopers - New Color Footage,UnknownWW2InColor,UCvyDs6RsxB_W9ef1igbCPxw,208548,1438,0,2013-06-16 10:30:51+00:00,https://i.ytimg.com/vi/mrNKVh0zsh8/hqdefault.jpg,2013
-I-YY5p0uq8,Sage The Gemini - Red Nose,SageTheGeminiVEVO,UCXxHhew851QXz2YlKTb5J8g,153568753,1081108,34841,2013-06-10 13:00:47+00:00,https://i.ytimg.com/vi/-I-YY5p0uq8/hqdefault.jpg,2013
0x2l0NgSvyM,Portal: Survive!,ColinandConnor,UC_g9mSftoFMmS1aJcN2WAmQ,3854445,60425,3564,2013-10-08 15:00:02+00:00,https://i.ytimg.com/vi/0x2l0NgSvyM/hqdefault.jpg,2013
jYVzYixdttY,Zendaya - Being Shy (VEVO LIFT),ZendayaVEVO,UCVQ2Z9dNQ2aJJ10f6SgBH0g,650968,11564,568,2013-10-07 15:40:01+00:00,https://i.ytimg.com/vi/jYVzYixdttY/hqdefault.jpg,2013
wNFxPtW1cSo,"Gossip Girl, Season 6 Episode 9 - Hanging On",XOXO,UCYZFlEfmPpbLdkgaJ_nROnQ,152997,795,39,2013-12-12 02:52:58+00:00,https://i.ytimg.com/vi/wNFxPtW1cSo/hqdefault.jpg,2013
vi8BHrOuDT8,KITTY COSTUME PARTY,NylahKitty,UC9JgYaC76Q_eSgYM01S5J_w,986008,29202,1891,2013-12-12 22:19:22+00:00,https://i.ytimg.com/vi/vi8BHrOuDT8/hqdefault.jpg,2013
6tiObv3C0RU,Cute cockatiel bird singing a song (Nimfa papagaj peva pesmicu),Best Party Videos | ZM,UC4LECIo364RYlBnwk6nt6Mg,1742221,8249,169,2013-07-03 19:48:55+00:00,https://i.ytimg.com/vi/6tiObv3C0RU/hqdefault.jpg,2013
OwxD3axvgt4,Minecraft Cake Defense 2,FV Disco,UCJ6oisIrPR4WqJbk6JeLoBw,1505876,24347,5807,2013-05-19 22:50:56+00:00,https://i.ytimg.com/vi/OwxD3axvgt4/hqdefault.jpg,2013
spNphRlv5_w,"Stan et Tina : Mon fils, ma bataille (Ep.17, s.4)",melo92i,UCSaHm5M4Fq9tS1xoeJZHOKw,73646,179,6,2013-05-26 11:28:11+00:00,https://i.ytimg.com/vi/spNphRlv5_w/hqdefault.jpg,2013
HhKr49SaHGk,Mr. Bean Animated extras (1/5),Darkhorse,UCiuO5k6-gCsqgW6R7kC2I5A,309347,525,29,2013-12-27 21:00:52+00:00,https://i.ytimg.com/vi/HhKr49SaHGk/hqdefault.jpg,2013
Q0937S-r-hc,Questions à Marisol Touraine durant la conférence SciencesPo - court,UsagersDesLilas,UCHGkc5zagB5RV-ygBHikrIw,1006,2,1,2013-06-17 21:45:12+00:00,https://i.ytimg.com/vi/Q0937S-r-hc/hqdefault.jpg,2013
_D3ODZfNq0w,taking on society:  indefinite production and endless growth,xkcdHatGuy,UCmL8LXPRelVPIhKd1bMaPqQ,1071359,41558,5124,2013-12-05 21:26:30+00:00,https://i.ytimg.com/vi/_D3ODZfNq0w/hqdefault.jpg,2013
1gB30nvNBvE,DO YOU WANT MUSCLE? - The best workout game,GYMCHON,UCdAWtzXd47zEa-hSEAlflPw,163227,1641,120,2013-11-23 08:07:24+00:00,https://i.ytimg.com/vi/1gB30nvNBvE/hqdefault.jpg,2013
GsXpt1etTnA,Ping Pong Ball Explosion with Liquid Nitrogen in SLOW MOTION,Distort,UClHnLucQ3lLgkkfdnBvwONg,150625,930,66,2013-09-13 02:21:53+00:00,https://i.ytimg.com/vi/GsXpt1etTnA/hqdefault.jpg,2013
-F2bheCfKDA,Isle of Wight Holiday 2013 - Part2,HDCYT,UCfHZCZHykS3IQDPyFfnqjWg,889161,930,0,2013-10-07 06:56:59+00:00,https://i.ytimg.com/vi/-F2bheCfKDA/hqdefault.jpg,2013
KgfO-CvSs1g,G.R.L. - Vacation (Official Video),GRLVEVO,UCftbXyY6prFBA92vlXdWDpw,54461659,451746,8180,2013-09-09 07:00:09+00:00,https://i.ytimg.com/vi/KgfO-CvSs1g/hqdefault.jpg,2013
